Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,1915.378
KTOE,Albania,2011,1974.009
KTOE,Albania,2012,1811.164
KTOE,Albania,2013,1983.438
KTOE,Albania,2014,2066.79
KTOE,Albania,2015,1964.552
KTOE,Albania,2016,1905.72
KTOE,Albania,2017,2086.405
KTOE,Albania,2018,2141.083
KTOE,Albania,2019,2074.604
KTOE,Albania,2020,1856.895
KTOE,Albania,2021,2028.988
KTOE,Austria,2010,28021.834
KTOE,Austria,2011,27184.223
KTOE,Austria,2012,27222.206
KTOE,Austria,2013,27872.717
KTOE,Austria,2014,26789.545
KTOE,Austria,2015,27505.584
KTOE,Austria,2016,28075.144
KTOE,Austria,2017,28531.089
KTOE,Austria,2018,27853.371
KTOE,Austria,2019,28335.529
KTOE,Austria,2020,26139.948
KTOE,Austria,2021,27818.79
KTOE,Bosnia Erzegovina,2014,3280.229
KTOE,Bosnia Erzegovina,2015,3497.311
KTOE,Bosnia Erzegovina,2016,3727.257
KTOE,Bosnia Erzegovina,2017,3674.038
KTOE,Bosnia Erzegovina,2018,4401.825
KTOE,Bosnia Erzegovina,2019,4417.711
KTOE,Bosnia Erzegovina,2020,4342.021
KTOE,Bosnia Erzegovina,2021,4646.735
KTOE,Belgio,2010,38151.609
KTOE,Belgio,2011,35379.501
KTOE,Belgio,2012,35511.761
KTOE,Belgio,2013,36699.782
KTOE,Belgio,2014,34375.406
KTOE,Belgio,2015,35952.367
KTOE,Belgio,2016,36433.02
KTOE,Belgio,2017,36116.965
KTOE,Belgio,2018,36391.706
KTOE,Belgio,2019,35787.21
KTOE,Belgio,2020,33191.95
KTOE,Belgio,2021,35863.071
KTOE,Bulgaria,2010,8829.009
KTOE,Bulgaria,2011,9252.107
KTOE,Bulgaria,2012,9219.703
KTOE,Bulgaria,2013,8775.46
KTOE,Bulgaria,2014,8985.957
KTOE,Bulgaria,2015,9490.345
KTOE,Bulgaria,2016,9649.361
KTOE,Bulgaria,2017,9896.46
KTOE,Bulgaria,2018,9921.334
KTOE,Bulgaria,2019,9852.239
KTOE,Bulgaria,2020,9525.621
KTOE,Bulgaria,2021,10173.217
KTOE,Cipro,2010,1929.418
KTOE,Cipro,2011,1922.835
