Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,2134.728
KTOE,Albania,2011,2224.767
KTOE,Albania,2012,2002.568
KTOE,Albania,2013,2343.73
KTOE,Albania,2014,2347.117
KTOE,Albania,2015,2196.15
KTOE,Albania,2016,2264.689
KTOE,Albania,2017,2367.99
KTOE,Albania,2018,2359.535
KTOE,Albania,2019,2333.185
KTOE,Albania,2020,2166.847
KTOE,Albania,2021,2281.204
KTOE,Austria,2010,34166.28
KTOE,Austria,2011,33119.592
KTOE,Austria,2012,33039.055
KTOE,Austria,2013,33469.027
KTOE,Austria,2014,32267.112
KTOE,Austria,2015,33023.282
KTOE,Austria,2016,33427.788
KTOE,Austria,2017,34068.816
KTOE,Austria,2018,33182.775
KTOE,Austria,2019,33804.875
KTOE,Austria,2020,32017.288
KTOE,Austria,2021,33718.117
KTOE,Bosnia Erzegovina,2014,5998.422
KTOE,Bosnia Erzegovina,2015,6176.764
KTOE,Bosnia Erzegovina,2016,6756.626
KTOE,Bosnia Erzegovina,2017,6743.965
KTOE,Bosnia Erzegovina,2018,7470.571
KTOE,Bosnia Erzegovina,2019,7220.822
KTOE,Bosnia Erzegovina,2020,7104.379
KTOE,Bosnia Erzegovina,2021,7359.713
KTOE,Belgio,2010,59313.184
KTOE,Belgio,2011,55189.932
KTOE,Belgio,2012,53010.651
KTOE,Belgio,2013,55212.594
KTOE,Belgio,2014,52290.931
KTOE,Belgio,2015,52234.335
KTOE,Belgio,2016,55042.46
KTOE,Belgio,2017,54846.928
KTOE,Belgio,2018,53023.438
KTOE,Belgio,2019,54382.0
KTOE,Belgio,2020,50242.925
KTOE,Belgio,2021,55282.206
KTOE,Bulgaria,2010,17748.485
KTOE,Bulgaria,2011,19030.567
KTOE,Bulgaria,2012,18231.765
KTOE,Bulgaria,2013,16926.06
KTOE,Bulgaria,2014,17704.737
KTOE,Bulgaria,2015,18504.383
KTOE,Bulgaria,2016,18081.015
KTOE,Bulgaria,2017,18697.785
KTOE,Bulgaria,2018,18746.908
KTOE,Bulgaria,2019,18606.103
KTOE,Bulgaria,2020,17698.822
KTOE,Bulgaria,2021,19131.578
KTOE,Cipro,2010,2476.303
KTOE,Cipro,2011,2403.869
KTOE,Cipro,2012,2262.439
KTOE,Cipro,2013,1955.962
KTOE,Cipro,2014,2003.342
KTOE,Cipro,2015,2054.544
KTOE,Cipro,2016,2188.57
KTOE,Cipro,2017,2259.845
KTOE,Cipro,2018,2308.403
KTOE,Cipro,2019,2315.13
KTOE,Cipro,2020,2187.784
KTOE,Cipro,2021,2251.763
KTOE,Republica Ceca,2010,45152.993
KTOE,Republica Ceca,2011,43307.467
KTOE,Republica Ceca,2012,42948.595
KTOE,Republica Ceca,2013,43162.612
KTOE,Republica Ceca,2014,41719.903
KTOE,Republica Ceca,2015,41757.305
KTOE,Republica Ceca,2016,41343.138
KTOE,Republica Ceca,2017,43108.154
KTOE,Republica Ceca,2018,43229.511
KTOE,Republica Ceca,2019,42517.527
KTOE,Republica Ceca,2020,40210.976
KTOE,Republica Ceca,2021,42643.755
KTOE,Germania,2010,330303.551
KTOE,Germania,2011,313107.906
KTOE,Germania,2012,315440.699
KTOE,Germania,2013,322440.619
KTOE,Germania,2014,308553.144
KTOE,Germania,2015,310082.463
KTOE,Germania,2016,311411.038
KTOE,Germania,2017,312465.059
KTOE,Germania,2018,305036.832
KTOE,Germania,2019,298401.223
KTOE,Germania,2020,280330.894
KTOE,Germania,2021,289865.801
KTOE,Danimarca,2010,19521.311
KTOE,Danimarca,2011,18114.686
KTOE,Danimarca,2012,17324.625
KTOE,Danimarca,2013,17438.248
KTOE,Danimarca,2014,16440.16
KTOE,Danimarca,2015,16383.737
KTOE,Danimarca,2016,16800.12
KTOE,Danimarca,2017,16892.917
KTOE,Danimarca,2018,16879.6
KTOE,Danimarca,2019,16324.576
KTOE,Danimarca,2020,15705.157
KTOE,Danimarca,2021,16582.045
KTOE,Estonia,2010,5890.553
KTOE,Estonia,2011,5724.965
KTOE,Estonia,2012,5228.871
KTOE,Estonia,2013,5839.349
KTOE,Estonia,2014,5539.125
KTOE,Estonia,2015,4801.323
KTOE,Estonia,2016,5978.412
KTOE,Estonia,2017,5853.284
KTOE,Estonia,2018,5750.586
KTOE,Estonia,2019,4847.81
KTOE,Estonia,2020,4473.791
KTOE,Estonia,2021,4564.505
KTOE,Grecia,2010,27664.517
KTOE,Grecia,2011,26797.816
KTOE,Grecia,2012,26603.895
KTOE,Grecia,2013,23395.055
KTOE,Grecia,2014,23216.752
KTOE,Grecia,2015,23264.675
KTOE,Grecia,2016,22775.802
KTOE,Grecia,2017,23407.972
KTOE,Grecia,2018,22748.616
KTOE,Grecia,2019,22423.526
KTOE,Grecia,2020,20093.116
KTOE,Grecia,2021,20814.067
KTOE,Spagna,2010,126995.926
KTOE,Spagna,2011,125769.692
KTOE,Spagna,2012,125379.024
KTOE,Spagna,2013,117058.321
KTOE,Spagna,2014,114522.755
KTOE,Spagna,2015,118954.381
KTOE,Spagna,2016,119715.84
KTOE,Spagna,2017,125876.951
KTOE,Spagna,2018,125486.607
KTOE,Spagna,2019,121939.72
KTOE,Spagna,2020,110214.255
KTOE,Spagna,2021,116762.031
KTOE,EU27_2020,2010,1526845.508
KTOE,EU27_2020,2011,1480027.449
KTOE,EU27_2020,2012,1461129.751
KTOE,EU27_2020,2013,1446198.668
KTOE,EU27_2020,2014,1395043.428
KTOE,EU27_2020,2015,1413601.754
KTOE,EU27_2020,2016,1423942.126
KTOE,EU27_2020,2017,1451851.355
KTOE,EU27_2020,2018,1440316.059
KTOE,EU27_2020,2019,1416505.525
KTOE,EU27_2020,2020,1322054.078
KTOE,EU27_2020,2021,1400169.997
KTOE,Finlandia,2010,36250.333
KTOE,Finlandia,2011,34795.937
KTOE,Finlandia,2012,33555.392
KTOE,Finlandia,2013,32985.287
KTOE,Finlandia,2014,33720.799
KTOE,Finlandia,2015,32022.519
KTOE,Finlandia,2016,33221.313
KTOE,Finlandia,2017,33574.369
KTOE,Finlandia,2018,34131.262
KTOE,Finlandia,2019,33369.707
KTOE,Finlandia,2020,31840.907
KTOE,Finlandia,2021,33438.361
KTOE,Francia,2010,264200.164
KTOE,Francia,2011,258908.863
KTOE,Francia,2012,259170.575
KTOE,Francia,2013,260588.51
KTOE,Francia,2014,250321.338
KTOE,Francia,2015,254321.801
KTOE,Francia,2016,249864.859
KTOE,Francia,2017,249861.073
KTOE,Francia,2018,248404.614
KTOE,Francia,2019,245199.194
KTOE,Francia,2020,220776.025
KTOE,Francia,2021,239135.783
KTOE,Georgia,2013,4159.633
KTOE,Georgia,2014,4440.201
KTOE,Georgia,2015,4690.718
KTOE,Georgia,2016,4847.596
KTOE,Georgia,2017,4894.047
KTOE,Georgia,2018,4851.522
KTOE,Georgia,2019,5101.024
KTOE,Georgia,2020,4941.465
KTOE,Georgia,2021,5288.346
KTOE,Croazia,2010,9372.252
KTOE,Croazia,2011,9156.651
KTOE,Croazia,2012,8614.754
KTOE,Croazia,2013,8434.858
KTOE,Croazia,2014,8030.511
KTOE,Croazia,2015,8387.91
KTOE,Croazia,2016,8454.603
KTOE,Croazia,2017,8734.018
KTOE,Croazia,2018,8491.654
KTOE,Croazia,2019,8589.513
KTOE,Croazia,2020,8248.778
KTOE,Croazia,2021,8596.096
KTOE,Ungheria,2010,26362.697
KTOE,Ungheria,2011,25829.901
KTOE,Ungheria,2012,24604.502
KTOE,Ungheria,2013,23757.412
KTOE,Ungheria,2014,23652.512
KTOE,Ungheria,2015,25028.528
KTOE,Ungheria,2016,25327.38
KTOE,Ungheria,2017,26432.948
KTOE,Ungheria,2018,26428.293
KTOE,Ungheria,2019,26426.11
KTOE,Ungheria,2020,26038.115
KTOE,Ungheria,2021,27257.983
