Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,2042.075
KTOE,Albania,2011,2197.285
KTOE,Albania,2012,1985.479
KTOE,Albania,2013,2204.559
KTOE,Albania,2014,2262.95
KTOE,Albania,2015,2117.331
KTOE,Albania,2016,2168.467
KTOE,Albania,2017,2337.534
KTOE,Albania,2018,2348.634
KTOE,Albania,2019,2307.136
KTOE,Albania,2020,2152.495
KTOE,Albania,2021,2257.117
KTOE,Austria,2010,32860.347
KTOE,Austria,2011,31972.555
KTOE,Austria,2012,31671.457
KTOE,Austria,2013,32076.299
KTOE,Austria,2014,30798.234
KTOE,Austria,2015,31659.367
KTOE,Austria,2016,32043.475
KTOE,Austria,2017,32817.084
KTOE,Austria,2018,31824.664
KTOE,Austria,2019,32269.635
KTOE,Austria,2020,29848.354
KTOE,Austria,2021,31551.268
KTOE,Bosnia Erzegovina,2014,5936.371
KTOE,Bosnia Erzegovina,2015,6113.933
KTOE,Bosnia Erzegovina,2016,6691.273
KTOE,Bosnia Erzegovina,2017,6691.094
KTOE,Bosnia Erzegovina,2018,7379.331
KTOE,Bosnia Erzegovina,2019,7136.966
KTOE,Bosnia Erzegovina,2020,7003.141
KTOE,Bosnia Erzegovina,2021,7282.862
KTOE,Belgio,2010,53366.871
KTOE,Belgio,2011,49499.16
KTOE,Belgio,2012,47074.505
KTOE,Belgio,2013,48634.893
KTOE,Belgio,2014,45238.491
KTOE,Belgio,2015,45655.401
KTOE,Belgio,2016,48454.18
KTOE,Belgio,2017,48486.468
KTOE,Belgio,2018,46469.885
KTOE,Belgio,2019,48408.947
KTOE,Belgio,2020,43883.681
KTOE,Belgio,2021,48756.239
KTOE,Bulgaria,2010,17398.789
KTOE,Bulgaria,2011,18574.793
KTOE,Bulgaria,2012,17827.585
KTOE,Bulgaria,2013,16506.85
KTOE,Bulgaria,2014,17257.64
KTOE,Bulgaria,2015,17957.958
KTOE,Bulgaria,2016,17665.372
KTOE,Bulgaria,2017,18321.816
KTOE,Bulgaria,2018,18368.645
KTOE,Bulgaria,2019,18215.627
KTOE,Bulgaria,2020,17190.48
KTOE,Bulgaria,2021,18578.09
KTOE,Cipro,2010,2674.478
KTOE,Cipro,2011,2645.28
KTOE,Cipro,2012,2499.665
KTOE,Cipro,2013,2175.125
KTOE,Cipro,2014,2221.1
KTOE,Cipro,2015,2274.408
KTOE,Cipro,2016,2424.671
KTOE,Cipro,2017,2533.225
KTOE,Cipro,2018,2546.72
KTOE,Cipro,2019,2535.443
KTOE,Cipro,2020,2197.842
KTOE,Cipro,2021,2311.704
KTOE,Republica Ceca,2010,42540.516
KTOE,Republica Ceca,2011,40871.209
KTOE,Republica Ceca,2012,40380.181
KTOE,Republica Ceca,2013,40672.265
KTOE,Republica Ceca,2014,38980.734
KTOE,Republica Ceca,2015,39437.712
KTOE,Republica Ceca,2016,39740.295
KTOE,Republica Ceca,2017,40355.201
KTOE,Republica Ceca,2018,40480.712
KTOE,Republica Ceca,2019,39742.918
KTOE,Republica Ceca,2020,37587.651
KTOE,Republica Ceca,2021,39568.875
KTOE,Germania,2010,315154.27
KTOE,Germania,2011,297797.16
KTOE,Germania,2012,301124.019
KTOE,Germania,2013,308287.928
KTOE,Germania,2014,293600.334
KTOE,Germania,2015,295929.403
KTOE,Germania,2016,297625.008
KTOE,Germania,2017,298121.279
KTOE,Germania,2018,291954.271
KTOE,Germania,2019,285239.536
KTOE,Germania,2020,262150.248
