unità di misura,Nazione,Anno,Totale
THS_T,Austria,2010,64934.19
THS_T,Austria,2011,67145.81
THS_T,Austria,2012,74020.84
THS_T,Austria,2013,73986.21
THS_T,Austria,2014,69050.39
THS_T,Austria,2015,72321.37
THS_T,Austria,2016,72828.52
THS_T,Austria,2017,78883.08
THS_T,Austria,2018,83775.26
THS_T,Austria,2019,82126.61
THS_T,Austria,2020,68688.65
THS_T,Austria,2021,67130.65
THS_T,Belgio,2010,133282.06
THS_T,Belgio,2011,122901.64
THS_T,Belgio,2012,120167.36
THS_T,Belgio,2013,119599.79
THS_T,Belgio,2014,113971.73
THS_T,Belgio,2015,118134.15
THS_T,Belgio,2016,116651.14
THS_T,Belgio,2017,116263.92
THS_T,Belgio,2018,116976.66
THS_T,Belgio,2019,115983.24
THS_T,Belgio,2020,106937.75
THS_T,Belgio,2021,110627.36
THS_T,Bulgaria,2010,47579.97
THS_T,Bulgaria,2011,56282.54
THS_T,Bulgaria,2012,51727.08
THS_T,Bulgaria,2013,47641.28
THS_T,Bulgaria,2014,49437.79
THS_T,Bulgaria,2015,52804.67
THS_T,Bulgaria,2016,48359.4
THS_T,Bulgaria,2017,50363.15
THS_T,Bulgaria,2018,45866.39
THS_T,Bulgaria,2019,44644.71
THS_T,Bulgaria,2020,38639.36
THS_T,Bulgaria,2021,44841.25
THS_T,CH,2010,52649.63
THS_T,CH,2011,50348.69
THS_T,CH,2012,50139.35
THS_T,CH,2013,51751.31
THS_T,CH,2014,49392.7
THS_T,CH,2015,47072.43
THS_T,CH,2016,47356.12
THS_T,CH,2017,46682.72
THS_T,CH,2018,45770.83
THS_T,CH,2019,44824.34
THS_T,CH,2020,42479.88
THS_T,CH,2021,43373.5
THS_T,Cipro,2010,9281.42
THS_T,Cipro,2011,8933.52
THS_T,Cipro,2012,8407.6
THS_T,Cipro,2013,7690.81
THS_T,Cipro,2014,8061.34
THS_T,Cipro,2015,8115.41
THS_T,Cipro,2016,8670.94
THS_T,Cipro,2017,8733.16
THS_T,Cipro,2018,8592.76
THS_T,Cipro,2019,8669.55
THS_T,Cipro,2020,8281.31
