Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,110.9
KTOE,Albania,2011,138.974
KTOE,Albania,2012,77.225
KTOE,Albania,2013,67.005
KTOE,Albania,2014,86.449
KTOE,Albania,2015,94.089
KTOE,Albania,2016,49.941
KTOE,Albania,2017,123.149
KTOE,Albania,2018,239.094
KTOE,Albania,2019,123.502
KTOE,Albania,2020,150.666
KTOE,Albania,2021,227.071
KTOE,Austria,2010,3383.533
KTOE,Austria,2011,3482.458
KTOE,Austria,2012,3245.066
KTOE,Austria,2013,3316.827
KTOE,Austria,2014,3049.524
KTOE,Austria,2015,3225.201
KTOE,Austria,2016,3013.647
KTOE,Austria,2017,3108.778
KTOE,Austria,2018,2739.549
KTOE,Austria,2019,2885.071
KTOE,Austria,2020,2471.505
KTOE,Austria,2021,2536.022
KTOE,Bosnia Erzegovina,2014,3657.915
KTOE,Bosnia Erzegovina,2015,3615.414
KTOE,Bosnia Erzegovina,2016,4111.803
KTOE,Bosnia Erzegovina,2017,4188.714
KTOE,Bosnia Erzegovina,2018,4230.078
KTOE,Bosnia Erzegovina,2019,3908.08
KTOE,Bosnia Erzegovina,2020,4009.674
KTOE,Bosnia Erzegovina,2021,3972.128
KTOE,Belgio,2010,3787.179
KTOE,Belgio,2011,3505.124
KTOE,Belgio,2012,3235.666
KTOE,Belgio,2013,3563.085
KTOE,Belgio,2014,3476.418
KTOE,Belgio,2015,3425.18
KTOE,Belgio,2016,3165.661
KTOE,Belgio,2017,3069.947
KTOE,Belgio,2018,3080.495
KTOE,Belgio,2019,3050.644
KTOE,Belgio,2020,2364.79
KTOE,Belgio,2021,2597.319
KTOE,Bulgaria,2010,6938.197
KTOE,Bulgaria,2011,8093.68
KTOE,Bulgaria,2012,6915.0
KTOE,Bulgaria,2013,5946.623
KTOE,Bulgaria,2014,6357.28
KTOE,Bulgaria,2015,6607.404
KTOE,Bulgaria,2016,5698.588
KTOE,Bulgaria,2017,6122.761
KTOE,Bulgaria,2018,5633.718
KTOE,Bulgaria,2019,5248.812
KTOE,Bulgaria,2020,4282.891
KTOE,Bulgaria,2021,5292.706
KTOE,Cipro,2010,16.779
KTOE,Cipro,2011,7.46
KTOE,Cipro,2012,0.124
KTOE,Cipro,2013,0.124
KTOE,Cipro,2014,2.218
KTOE,Cipro,2015,3.679
KTOE,Cipro,2016,0.0
KTOE,Cipro,2017,2.98
KTOE,Cipro,2018,13.614
KTOE,Cipro,2019,17.199
KTOE,Cipro,2020,14.004
KTOE,Cipro,2021,40.105
KTOE,Republica Ceca,2010,18846.975
KTOE,Republica Ceca,2011,18300.811
KTOE,Republica Ceca,2012,17283.113
KTOE,Republica Ceca,2013,17276.269
KTOE,Republica Ceca,2014,15972.076
KTOE,Republica Ceca,2015,16394.61
KTOE,Republica Ceca,2016,16553.885
KTOE,Republica Ceca,2017,15837.627
KTOE,Republica Ceca,2018,15815.285
KTOE,Republica Ceca,2019,14191.778
KTOE,Republica Ceca,2020,12298.302
KTOE,Republica Ceca,2021,12920.974
KTOE,Germania,2010,79075.728
KTOE,Germania,2011,77965.871
KTOE,Germania,2012,79918.633
KTOE,Germania,2013,81561.127
KTOE,Germania,2014,79604.753
KTOE,Germania,2015,79414.733
KTOE,Germania,2016,77130.836
KTOE,Germania,2017,71308.498
KTOE,Germania,2018,69738.592
KTOE,Germania,2019,56465.035
KTOE,Germania,2020,44655.002
KTOE,Germania,2021,53202.414
KTOE,Danimarca,2010,3808.941
KTOE,Danimarca,2011,3234.475
KTOE,Danimarca,2012,2467.764
KTOE,Danimarca,2013,3173.545
KTOE,Danimarca,2014,2533.67
KTOE,Danimarca,2015,1817.65
KTOE,Danimarca,2016,2004.774
KTOE,Danimarca,2017,1535.847
KTOE,Danimarca,2018,1592.478
KTOE,Danimarca,2019,968.926
KTOE,Danimarca,2020,819.714
KTOE,Danimarca,2021,1120.017
KTOE,Estonia,2010,23.94
KTOE,Estonia,2011,29.079
KTOE,Estonia,2012,24.464
KTOE,Estonia,2013,27.993
KTOE,Estonia,2014,33.582
KTOE,Estonia,2015,13.36
KTOE,Estonia,2016,8.659
KTOE,Estonia,2017,12.289
KTOE,Estonia,2018,16.743
KTOE,Estonia,2019,14.129
KTOE,Estonia,2020,-2.726
KTOE,Estonia,2021,-8.983
KTOE,Grecia,2010,7863.033
KTOE,Grecia,2011,7886.86
KTOE,Grecia,2012,8134.842
KTOE,Grecia,2013,6981.004
KTOE,Grecia,2014,6687.083
KTOE,Grecia,2015,5606.374
KTOE,Grecia,2016,4369.484
KTOE,Grecia,2017,4816.635
KTOE,Grecia,2018,4564.069
KTOE,Grecia,2019,3196.088
KTOE,Grecia,2020,1830.92
KTOE,Grecia,2021,1710.922
KTOE,Spagna,2010,7281.087
KTOE,Spagna,2011,12716.137
KTOE,Spagna,2012,15518.743
KTOE,Spagna,2013,11447.726
KTOE,Spagna,2014,11568.18
KTOE,Spagna,2015,13583.196
KTOE,Spagna,2016,10836.007
KTOE,Spagna,2017,12907.895
KTOE,Spagna,2018,11521.899
KTOE,Spagna,2019,5071.746
KTOE,Spagna,2020,3099.844
KTOE,Spagna,2021,3096.851
KTOE,EU27_2020,2010,245080.872
