Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,2152.188
KTOE,Albania,2011,2245.308
KTOE,Albania,2012,2023.108
KTOE,Albania,2013,2385.743
KTOE,Albania,2014,2375.779
KTOE,Albania,2015,2218.649
KTOE,Albania,2016,2305.608
KTOE,Albania,2017,2412.268
KTOE,Albania,2018,2398.096
KTOE,Albania,2019,2386.443
KTOE,Albania,2020,2214.765
KTOE,Albania,2021,2327.108
KTOE,Austria,2010,34854.536
KTOE,Austria,2011,33838.869
KTOE,Austria,2012,33738.492
KTOE,Austria,2013,34137.576
KTOE,Austria,2014,32935.007
KTOE,Austria,2015,33737.177
KTOE,Austria,2016,34207.894
KTOE,Austria,2017,34823.629
KTOE,Austria,2018,34026.09
KTOE,Austria,2019,34779.357
KTOE,Austria,2020,32349.093
KTOE,Austria,2021,34140.533
KTOE,Bosnia Erzegovina,2014,6002.622
KTOE,Bosnia Erzegovina,2015,6183.064
KTOE,Bosnia Erzegovina,2016,6767.126
KTOE,Bosnia Erzegovina,2017,6754.465
KTOE,Bosnia Erzegovina,2018,7478.331
KTOE,Bosnia Erzegovina,2019,7230.302
KTOE,Bosnia Erzegovina,2020,7108.25
KTOE,Bosnia Erzegovina,2021,7374.079
KTOE,Belgio,2010,68284.917
KTOE,Belgio,2011,63400.919
KTOE,Belgio,2012,60399.894
KTOE,Belgio,2013,62641.932
KTOE,Belgio,2014,59002.076
KTOE,Belgio,2015,59501.494
KTOE,Belgio,2016,63145.341
KTOE,Belgio,2017,63921.567
KTOE,Belgio,2018,63991.814
KTOE,Belgio,2019,64283.87
KTOE,Belgio,2020,57817.787
KTOE,Belgio,2021,64369.336
KTOE,Bulgaria,2010,18012.376
KTOE,Bulgaria,2011,19275.496
KTOE,Bulgaria,2012,18458.681
KTOE,Bulgaria,2013,17175.487
KTOE,Bulgaria,2014,17955.616
KTOE,Bulgaria,2015,18767.777
KTOE,Bulgaria,2016,18371.373
KTOE,Bulgaria,2017,19015.831
KTOE,Bulgaria,2018,19085.087
KTOE,Bulgaria,2019,18920.126
KTOE,Bulgaria,2020,17921.128
KTOE,Bulgaria,2021,19380.667
KTOE,Cipro,2010,2945.147
KTOE,Cipro,2011,2910.183
KTOE,Cipro,2012,2735.813
KTOE,Cipro,2013,2440.425
KTOE,Cipro,2014,2477.117
KTOE,Cipro,2015,2541.862
KTOE,Cipro,2016,2750.316
KTOE,Cipro,2017,2826.805
KTOE,Cipro,2018,2902.436
KTOE,Cipro,2019,2903.469
KTOE,Cipro,2020,2558.567
KTOE,Cipro,2021,2662.036
KTOE,Republica Ceca,2010,45466.357
KTOE,Republica Ceca,2011,43617.728
KTOE,Republica Ceca,2012,43242.309
KTOE,Republica Ceca,2013,43445.983
KTOE,Republica Ceca,2014,42012.582
KTOE,Republica Ceca,2015,42052.053
KTOE,Republica Ceca,2016,41659.604
KTOE,Republica Ceca,2017,43462.886
KTOE,Republica Ceca,2018,43639.055
KTOE,Republica Ceca,2019,42936.379
KTOE,Republica Ceca,2020,40324.738
KTOE,Republica Ceca,2021,42766.825
KTOE,Germania,2010,341023.672
KTOE,Germania,2011,323483.343
KTOE,Germania,2012,326147.321
KTOE,Germania,2013,333067.586
KTOE,Germania,2014,318861.268
KTOE,Germania,2015,320515.397
KTOE,Germania,2016,322845.741
KTOE,Germania,2017,324280.628
KTOE,Germania,2018,316559.699
KTOE,Germania,2019,309512.936
KTOE,Germania,2020,286209.057
KTOE,Germania,2021,297289.72
KTOE,Danimarca,2010,21019.868
KTOE,Danimarca,2011,19643.338
KTOE,Danimarca,2012,18680.18
KTOE,Danimarca,2013,18898.469
KTOE,Danimarca,2014,18078.038
KTOE,Danimarca,2015,18032.397
KTOE,Danimarca,2016,18417.049
KTOE,Danimarca,2017,18403.61
KTOE,Danimarca,2018,18496.478
KTOE,Danimarca,2019,18110.273
KTOE,Danimarca,2020,16594.415
KTOE,Danimarca,2021,17485.08
KTOE,Estonia,2010,6139.796
KTOE,Estonia,2011,5952.907
KTOE,Estonia,2012,5679.925
KTOE,Estonia,2013,6294.616
KTOE,Estonia,2014,5900.539
KTOE,Estonia,2015,5136.289
KTOE,Estonia,2016,6292.83
KTOE,Estonia,2017,6234.403
KTOE,Estonia,2018,6126.374
KTOE,Estonia,2019,5099.863
KTOE,Estonia,2020,4791.285
KTOE,Estonia,2021,4909.687
KTOE,Grecia,2010,31056.521
KTOE,Grecia,2011,30289.59
KTOE,Grecia,2012,29510.778
KTOE,Grecia,2013,26189.423
KTOE,Grecia,2014,25859.138
KTOE,Grecia,2015,25871.415
KTOE,Grecia,2016,25374.145
KTOE,Grecia,2017,26528.764
KTOE,Grecia,2018,26023.087
KTOE,Grecia,2019,26072.447
KTOE,Grecia,2020,22075.359
KTOE,Grecia,2021,23321.333
KTOE,Spagna,2010,138536.888
KTOE,Spagna,2011,138110.706
KTOE,Spagna,2012,137469.673
KTOE,Spagna,2013,127965.195
KTOE,Spagna,2014,126079.791
KTOE,Spagna,2015,130401.3
KTOE,Spagna,2016,131435.263
KTOE,Spagna,2017,137139.581
KTOE,Spagna,2018,137261.951
KTOE,Spagna,2019,134015.644
KTOE,Spagna,2020,118167.742
KTOE,Spagna,2021,125932.647
KTOE,EU27_2020,2010,1605666.502
KTOE,EU27_2020,2011,1559633.422
KTOE,EU27_2020,2012,1537230.505
KTOE,EU27_2020,2013,1519985.829
KTOE,EU27_2020,2014,1468051.54
KTOE,EU27_2020,2015,1488481.501
KTOE,EU27_2020,2016,1501710.18
KTOE,EU27_2020,2017,1532986.657
KTOE,EU27_2020,2018,1524746.965
KTOE,EU27_2020,2019,1501402.439
KTOE,EU27_2020,2020,1379095.872
KTOE,EU27_2020,2021,1462426.826
KTOE,Finlandia,2010,37003.181
KTOE,Finlandia,2011,35635.262
KTOE,Finlandia,2012,34295.005
KTOE,Finlandia,2013,33751.786
KTOE,Finlandia,2014,34444.261
KTOE,Finlandia,2015,32958.648
KTOE,Finlandia,2016,34150.102
KTOE,Finlandia,2017,34609.346
KTOE,Finlandia,2018,35236.082
KTOE,Finlandia,2019,34545.258
KTOE,Finlandia,2020,32433.152
KTOE,Finlandia,2021,33996.09
KTOE,Francia,2010,272001.499
KTOE,Francia,2011,267095.93
KTOE,Francia,2012,267060.283
KTOE,Francia,2013,268198.81
KTOE,Francia,2014,257649.13
KTOE,Francia,2015,261766.081
KTOE,Francia,2016,257127.693
KTOE,Francia,2017,257300.473
KTOE,Francia,2018,256265.031
KTOE,Francia,2019,253107.951
KTOE,Francia,2020,224407.811
KTOE,Francia,2021,242901.787
KTOE,Georgia,2013,4248.111
KTOE,Georgia,2014,4522.765
KTOE,Georgia,2015,4761.584
KTOE,Georgia,2016,4920.516
KTOE,Georgia,2017,4991.616
KTOE,Georgia,2018,4958.421
KTOE,Georgia,2019,5206.965
KTOE,Georgia,2020,5002.132
KTOE,Georgia,2021,5388.242
KTOE,Croazia,2010,9477.759
KTOE,Croazia,2011,9284.118
KTOE,Croazia,2012,8728.915
KTOE,Croazia,2013,8559.519
KTOE,Croazia,2014,8156.192
KTOE,Croazia,2015,8508.426
KTOE,Croazia,2016,8583.007
KTOE,Croazia,2017,8888.239
KTOE,Croazia,2018,8696.791
KTOE,Croazia,2019,8814.045
KTOE,Croazia,2020,8323.132
KTOE,Croazia,2021,8718.183
KTOE,Ungheria,2010,26592.419
KTOE,Ungheria,2011,26062.623
KTOE,Ungheria,2012,24771.026
KTOE,Ungheria,2013,23919.922
KTOE,Ungheria,2014,23823.234
KTOE,Ungheria,2015,25203.244
KTOE,Ungheria,2016,25519.653
KTOE,Ungheria,2017,26656.45
KTOE,Ungheria,2018,26704.565
KTOE,Ungheria,2019,26705.486
KTOE,Ungheria,2020,26139.518
KTOE,Ungheria,2021,27381.116
KTOE,Irlanda,2010,15201.481
KTOE,Irlanda,2011,13982.178
KTOE,Irlanda,2012,14148.321
KTOE,Irlanda,2013,13567.015
KTOE,Irlanda,2014,13650.27
KTOE,Irlanda,2015,14402.954
