Unità di misura,Nazione,Anno,Totale
KTOE,Albania,2010,862.358
KTOE,Albania,2011,575.002
KTOE,Albania,2012,624.582
KTOE,Albania,2013,811.751
KTOE,Albania,2014,637.643
KTOE,Albania,2015,753.85
KTOE,Albania,2016,951.509
KTOE,Albania,2017,646.725
KTOE,Albania,2018,1019.617
KTOE,Albania,2019,739.722
KTOE,Albania,2020,732.69
KTOE,Albania,2021,1044.157
KTOE,Austria,2010,9478.543
KTOE,Austria,2011,9057.289
KTOE,Austria,2012,10282.138
KTOE,Austria,2013,10232.191
KTOE,Austria,2014,10067.397
KTOE,Austria,2015,10044.649
KTOE,Austria,2016,10339.992
KTOE,Austria,2017,10384.339
KTOE,Austria,2018,10010.942
KTOE,Austria,2019,10427.475
KTOE,Austria,2020,10497.608
KTOE,Austria,2021,10700.588
KTOE,Bosnia Erzegovina,2014,958.19
KTOE,Bosnia Erzegovina,2015,1041.072
KTOE,Bosnia Erzegovina,2016,1052.991
KTOE,Bosnia Erzegovina,2017,792.069
KTOE,Bosnia Erzegovina,2018,1754.024
KTOE,Bosnia Erzegovina,2019,1795.846
KTOE,Bosnia Erzegovina,2020,1731.46
KTOE,Bosnia Erzegovina,2021,1883.841
KTOE,Belgio,2010,2976.17
KTOE,Belgio,2011,2993.455
KTOE,Belgio,2012,3395.984
KTOE,Belgio,2013,3621.002
KTOE,Belgio,2014,3464.257
KTOE,Belgio,2015,3740.316
KTOE,Belgio,2016,3976.178
KTOE,Belgio,2017,4138.967
KTOE,Belgio,2018,4248.115
KTOE,Belgio,2019,4386.661
KTOE,Belgio,2020,4930.86
KTOE,Belgio,2021,5123.182
KTOE,Bulgaria,2010,1485.571
KTOE,Bulgaria,2011,1394.668
KTOE,Bulgaria,2012,1650.951
KTOE,Bulgaria,2013,1881.268
KTOE,Bulgaria,2014,1860.125
KTOE,Bulgaria,2015,2076.229
KTOE,Bulgaria,2016,2022.557
KTOE,Bulgaria,2017,1952.201
KTOE,Bulgaria,2018,2541.462
KTOE,Bulgaria,2019,2469.42
KTOE,Bulgaria,2020,2548.995
KTOE,Bulgaria,2021,2915.066
KTOE,Cipro,2010,109.445
KTOE,Cipro,2011,125.783
KTOE,Cipro,2012,135.707
KTOE,Cipro,2013,139.768
KTOE,Cipro,2014,136.421
KTOE,Cipro,2015,155.958
KTOE,Cipro,2016,162.155
KTOE,Cipro,2017,178.69
KTOE,Cipro,2018,238.322
KTOE,Cipro,2019,246.298
KTOE,Cipro,2020,278.052
KTOE,Cipro,2021,297.44
KTOE,Republica Ceca,2010,3177.609
KTOE,Republica Ceca,2011,3498.223
KTOE,Republica Ceca,2012,3757.16
KTOE,Republica Ceca,2013,4130.887
KTOE,Republica Ceca,2014,4268.734
KTOE,Republica Ceca,2015,4384.856
KTOE,Republica Ceca,2016,4433.736
KTOE,Republica Ceca,2017,4540.336
KTOE,Republica Ceca,2018,4567.498
KTOE,Republica Ceca,2019,4915.246
KTOE,Republica Ceca,2020,5127.698
KTOE,Republica Ceca,2021,5502.962
KTOE,Germania,2010,31267.615
KTOE,Germania,2011,32438.432
KTOE,Germania,2012,36452.88
KTOE,Germania,2013,37632.136
KTOE,Germania,2014,37454.527
KTOE,Germania,2015,39929.125
KTOE,Germania,2016,39834.021
KTOE,Germania,2017,42513.944
KTOE,Germania,2018,43509.159
KTOE,Germania,2019,45314.506
KTOE,Germania,2020,47025.919
KTOE,Germania,2021,46425.523
